Geography,Name,Level,Year,property_crime_rate,violent_crime_rate
NYC,New York City,City,2020,7.2,4.3
BX,The Bronx,Boro,2020,7.9,7.0
BK,Brooklyn,Boro,2020,6.6,4.2
MN,Manhattan,Boro,2020,11.1,4.5
QN,Queens,Boro,2020,5.7,3.2
SI,Staten Island,Boro,2020,3.3,1.9
BX 01,Mott Haven/Melrose,Community District,2020,12.5,12.4
BX 02,Hunts Point/Longwood,Community District,2020,10.7,9.4
BX 03,Morrisania/Crotona,Community District,2020,9.9,11.0
BX 04,Highbridge/Concourse,Community District,2020,7.9,8.4
BX 05,Fordham/University Heights,Community District,2020,8.4,7.5
BX 06,Belmont/East Tremont,Community District,2020,9.7,9.1
BX 07,Kingsbridge Heights/Bedford,Community District,2020,7.1,6.0
BX 08,Riverdale/Fieldston,Community District,2020,7.4,2.4
BX 09,Parkchester/Soundview,Community District,2020,6.6,6.3
BX 10,Throgs Neck/Co-op City,Community District,2020,5.5,2.9
BX 11,Morris Park/Bronxdale,Community District,2020,6.6,3.7
BX 12,Williamsbridge/Baychester,Community District,2020,6.2,6.6
BK 01,Greenpoint/Williamsburg,Community District,2020,10.5,3.2
BK 02,Fort Greene/Brooklyn Heights,Community District,2020,12.2,6.4
BK 03,Bedford Stuyvesant,Community District,2020,10.2,6.9
BK 04,Bushwick,Community District,2020,9.7,5.4
BK 05,East New York/Starrett City,Community District,2020,9.7,8.2
BK 06,Park Slope/Carroll Gardens,Community District,2020,6.8,2.7
BK 07,Sunset Park,Community District,2020,5.4,3.1
BK 08,Crown Heights/Prospect Heights,Community District,2020,5.9,4.7
BK 09,South Crown Heights/Lefferts Gardens,Community District,2020,5.3,4.7
BK 10,Bay Ridge/Dyker Heights,Community District,2020,4.7,1.7
BK 11,Bensonhurst,Community District,2020,3.8,1.4
BK 12,Borough Park,Community District,2020,3.4,1.4
BK 13,Coney Island,Community District,2020,5.1,3.4
BK 14,Flatbush/Midwood,Community District,2020,5.2,3.2
BK 15,Sheepshead Bay,Community District,2020,5.0,2.2
BK 16,Brownsville,Community District,2020,6.7,9.9
BK 17,East Flatbush,Community District,2020,5.0,5.3
BK 18,Flatlands/Canarsie,Community District,2020,5.2,2.9
MN 01,Financial District,Community District,2020,10.1,3.9
MN 02,Greenwich Village/Soho,Community District,2020,21.2,4.5
MN 03,Lower East Side/Chinatown,Community District,2020,10.2,3.7
MN 04,Clinton/Chelsea,Community District,2020,16.3,5.1
MN 05,Midtown,Community District,2020,55.1,11.6
MN 06,Stuyvesant Town/Turtle Bay,Community District,2020,8.7,2.1
MN 07,Upper West Side,Community District,2020,6.0,2.1
MN 08,Upper East Side,Community District,2020,8.2,1.6
MN 09,Morningside Heights/Hamilton,Community District,2020,7.5,4.8
MN 10,Central Harlem,Community District,2020,8.8,8.2
MN 11,East Harlem,Community District,2020,9.9,8.4
MN 12,Washington Heights/Inwood,Community District,2020,7.4,4.2
QN 01,Astoria,Community District,2020,6.1,2.9
QN 02,Woodside/Sunnyside,Community District,2020,6.9,2.4
QN 03,Jackson Heights,Community District,2020,5.3,3.3
QN 04,Elmhurst/Corona,Community District,2020,4.4,3.4
QN 05,Ridgewood/Maspeth,Community District,2020,6.4,2.7
QN 06,Rego Park/Forest Hills,Community District,2020,4.2,0.9
QN 07,Flushing/Whitestone,Community District,2020,6.0,1.9
QN 08,Hillcrest/Fresh Meadows,Community District,2020,5.7,1.8
QN 09,Kew Gardens/Woodhaven,Community District,2020,4.0,2.7
QN 10,South Ozone Park/Howard Beach,Community District,2020,7.1,3.7
QN 11,Bayside/Little Neck,Community District,2020,5.7,0.9
QN 12,Jamaica/Hollis,Community District,2020,6.8,6.0
QN 13,Queens Village,Community District,2020,5.6,3.2
QN 14,Rockaway/Broad Channel,Community District,2020,4.7,5.4
SI 01,St. George/Stapleton,Community District,2020,3.9,3.2
SI 02,South Beach/Willowbrook,Community District,2020,3.5,1.3
SI 03,Tottenville/Great Kills,Community District,2020,2.5,0.7
